category,min,q1,median,q3,max,in_cbsa,CBSA Title,STATE
total_pop,10,3306,4659,6035,11406,1,"Santa Maria-Santa Barbara, CA",California
white_perc,0.051093819,0.364955357,0.552648106,0.702715356,0.909090909,1,"Santa Maria-Santa Barbara, CA",California
black_perc,0,0.006425703,0.011454183,0.018332042,0.160245673,1,"Santa Maria-Santa Barbara, CA",California
indigenous_perc,0,0.002166512,0.003632236,0.005278311,0.026746167,1,"Santa Maria-Santa Barbara, CA",California
asian_perc,0,0.022809124,0.036842105,0.054810962,0.213793103,1,"Santa Maria-Santa Barbara, CA",California
pac_isl_perc,0,0.000680735,0.001034738,0.001992032,0.01758794,1,"Santa Maria-Santa Barbara, CA",California
other_perc,0,0.021143414,0.02785666,0.036621094,0.272727273,1,"Santa Maria-Santa Barbara, CA",California
two_more_perc,0,0.014990512,0.020655822,0.025738799,0.272727273,1,"Santa Maria-Santa Barbara, CA",California
hispanic_perc,0,0.199934124,0.329830786,0.560714286,0.917339598,1,"Santa Maria-Santa Barbara, CA",California
total_scho,0,2159,2800,3458,6208,1,"Santa Maria-Santa Barbara, CA",California
ba_higher_perc,0.010728218,0.166783639,0.308943089,0.449857962,0.754716981,1,"Santa Maria-Santa Barbara, CA",California
median_inc,20536,47925,59300,76935.5,122701,1,"Santa Maria-Santa Barbara, CA",California
total_pop,3678,4607,5507,7349,7828,1,"Red Bluff, CA",California
white_perc,0.522663831,0.63979427,0.755220628,0.80837642,0.861388709,1,"Red Bluff, CA",California
black_perc,0.002175095,0.003494947,0.004377432,0.007934993,0.012403101,1,"Red Bluff, CA",California
indigenous_perc,0.011893344,0.015713957,0.019800715,0.023099976,0.025291829,1,"Red Bluff, CA",California
asian_perc,0.002918288,0.006335704,0.007081896,0.013104388,0.020155039,1,"Red Bluff, CA",California
pac_isl_perc,0.000543774,0.000606959,0.000836237,0.001118879,0.002675097,1,"Red Bluff, CA",California
other_perc,0.036794425,0.040011853,0.05131323,0.052855847,0.054112947,1,"Red Bluff, CA",California
two_more_perc,0.019930314,0.023988012,0.026476314,0.027955663,0.031808891,1,"Red Bluff, CA",California
hispanic_perc,0.07761194,0.118021553,0.174868349,0.297055964,0.423368337,1,"Red Bluff, CA",California
total_scho,2582,3207.5,3781,4360.5,5007,1,"Red Bluff, CA",California
ba_higher_perc,0.062452107,0.09883962,0.118258609,0.148316896,0.208429119,1,"Red Bluff, CA",California
